startup_name;date_incorporated
Marys Good Food UG (haftungsbeschränkt);2020-01-06
Qi-Tech UG (haftungsbeschränkt);2020-01-06
Resonanz Energy RE GmbH;2020-01-06
Spacific GmbH;2020-01-06
deepc GmbH;2020-01-04
Oslery GmbH;2020-01-04
Alphabots GmbH;2020-01-03
AMUI UG (haftungsbeschränkt);2020-01-03
CBD Drinks GmbH;2020-01-03
Hoffmann Liebs Solutions GmbH;2020-01-03
Irox Games UG (haftungsbeschränkt);2020-01-03
Kirsty GmbH;2020-01-03
Kite Tech GmbH;2020-01-03
Medibear GmbH;2020-01-03
Previondo UG (haftungsbeschränkt);2020-01-03
Repairline UG (haftungsbeschränkt);2020-01-03
Skycharge GmbH;2020-01-03
spcfy GmbH;2020-01-03
texxeo GmbH;2020-01-03
TICE Software UG (haftungsbeschränkt);2020-01-03
Valyria Technology GmbH;2020-01-03
Bildhuus GmbH;2020-01-02
CannaMED Plus GmbH;2020-01-02
immobilie-verkaufen.info GmbH;2020-01-02
Innorize GmbH;2020-01-02
KALEA GmbH;2020-01-02
MeetAnyway GmbH;2020-01-02
Startup Insider GmbH;2020-01-02
Terpbomb GmbH;2020-01-02
Wundergarten GmbH;2020-01-02
KIMALDI TECHNOLOGIE GmbH;2019-12-31
POSITERRA GmbH;2019-12-31
Bilinga Education GmbH;2019-12-30
Brance GmbH;2019-12-30
FIMO Health UG (haftungsbeschränkt);2019-12-30
GeoLegalTech GmbH;2019-12-30
Jetworx GmbH;2019-12-30
KindCare GmbH;2019-12-30
MindNet E-Health Solutions GmbH;2019-12-30
Norden Vaccines GmbH;2019-12-30
SEATRAC GmbH;2019-12-30
Alternative Für Plastik GmbH;2019-12-27
crop.zone GmbH;2019-12-27
easyBeeBox UG (haftungsbeschränkt);2019-12-27
Goldsnature GmbH;2019-12-27
Persy Booths UG (haftungsbeschränkt);2019-12-27
RECSYNC GmbH;2019-12-27
ThixoAM GmbH;2019-12-27
Twinsity GmbH;2019-12-27
Sanmundo UG (haftungsbeschränkt);2019-12-25
Cartken GmbH;2019-12-24
Deployables Cubed GmbH;2019-12-24
FetchAuto GmbH;2019-12-24
Huntorial GmbH;2019-12-24
Mellenium GmbH;2019-12-24
Two Pencils UG (haftungsbeschränkt);2019-12-24
airfolio GmbH;2019-12-23
Animal Lovers Hamburg GmbH;2019-12-23
be.cash UG (haftungsbeschränkt);2019-12-23
bygg AI GmbH;2019-12-23
Deploy Innovation UG (haftungsbeschränkt);2019-12-23
Dilecy GmbH;2019-12-23
Givetastic Technologies UG (haftungsbeschränkt);2019-12-23
GT Full Stack GmbH;2019-12-23
Hymm UG (haftungsbeschränkt);2019-12-23
insoadvice GmbH;2019-12-23
Chainmatters UG (haftungsbeschränkt);2019-12-21
ALOYAY GmbH;2019-12-20
ARISTRA GmbH;2019-12-20
EduScoutOne GmbH;2019-12-20
EDV Achenbach GmbH;2019-12-20
Flixpower Smart Energy Solutions GmbH;2019-12-20
Liefersmart UG (haftungsbeschränkt);2019-12-20
Nia Health GmbH;2019-12-20
Puls Technologies GmbH;2019-12-20
Resolve BioSciences GmbH;2019-12-20
CryptoTech UG (haftungsbeschränkt);2019-12-19
Evaeres GmbH;2019-12-19
Fastic GmbH;2019-12-19
Housepilot Matching GmbH;2019-12-19
New Learning GmbH;2019-12-19
Nexobility GmbH;2019-12-19
Wunderloop GmbH;2019-12-19
ALBEGA Medical GmbH;2019-12-18
AM App GmbH;2019-12-18
Bio-Gram Diagnostics GmbH;2019-12-18
botario GmbH;2019-12-18
Commuter Services GmbH;2019-12-18
Creative26 GmbH;2019-12-18
crino GmbH;2019-12-18
Die Online Ärzte GmbH;2019-12-18
E-Sports Media GmbH;2019-12-18
etvas GmbH;2019-12-18
Legal Fox UG (haftungsbeschränkt);2019-12-18
Neoloan AG;2019-12-18
nocturno solutions GmbH;2019-12-18
VanOnGo GmbH;2019-12-18
AEye Germany GmbH;2019-12-17
bluefish.media GmbH;2019-12-17
Carcareer24 UG (haftungsbeschränkt);2019-12-17
Careloop GmbH;2019-12-17
CebraSens UG (haftungsbeschränkt);2019-12-17
Cellomat GmbH;2019-12-17
CryptoStruct GmbH;2019-12-17
Filigree Salvation UG (haftungsbeschränkt);2019-12-17
JustStay GmbH;2019-12-17
LEROMA GmbH;2019-12-17
NOVUS GmbH;2019-12-17
Organic Garden AG;2019-12-17
stackOcean GmbH;2019-12-17
techreach GmbH;2019-12-17
antony Groupware GmbH;2019-12-16
caranea UG (haftungsbeschränkt);2019-12-16
cloudfair UG (haftungsbeschränkt);2019-12-16
Cryoglass Optics GmbH;2019-12-16
cup2gether and friends UG (haftungsbeschränkt);2019-12-16
Endulytics UG (haftungsbeschränkt);2019-12-16
Innovation of Livability (I.O.L.) UG (haftungsbeschränkt);2019-12-16
Island Labs GmbH;2019-12-16
KINZIG.VALLEY GmbH;2019-12-16
movearound GmbH;2019-12-16
musicube GmbH;2019-12-16
novapace GmbH;2019-12-16
paigh GmbH;2019-12-16
peerOS GmbH;2019-12-16
RideLink GmbH;2019-12-16
SHIPSTA Services GmbH;2019-12-16
smartkey UG (haftungsbeschränkt);2019-12-16
talentZONE GmbH;2019-12-16
Tiegoo AG;2019-12-16
TR - Talk GmbH;2019-12-16
Celtro GmbH;2019-12-14
Adsome GmbH;2019-12-13
AES Autonome Energiesysteme GmbH;2019-12-13
Keemova GmbH;2019-12-13
Paperview GmbH & Co. KG;2019-12-13
phinc GmbH;2019-12-13
pilaME Healthcare GmbH;2019-12-13
Spendenturbo GmbH;2019-12-13
Tea Venture Germany GmbH;2019-12-13
tokenfinance UG (haftungsbeschränkt);2019-12-13
Townsmith UG (haftungsbeschränkt);2019-12-13
VAXSEEN UG (haftungsbeschränkt);2019-12-13
Dashfactory GmbH;2019-12-12
Franqbox UG (haftungsbeschränkt);2019-12-12
Logistic Lights GmbH;2019-12-12
MORE Cargobike GmbH;2019-12-12
OMfire! GmbH;2019-12-12
OMlocal! GmbH;2019-12-12
Tealful Institute UG (haftungsbeschränkt);2019-12-12
V-Commerce GmbH;2019-12-12
VENOON GmbH;2019-12-12
ConcR GmbH;2019-12-11
eyelevel GmbH;2019-12-11
farming revolution GmbH;2019-12-11
mantro farming GmbH;2019-12-11
mt industry recycling GmbH;2019-12-11
RSX Technologies GmbH;2019-12-11
SCIENCIA GmbH;2019-12-11
Sidequest GmbH;2019-12-11
STOKR GmbH;2019-12-11
Tecomon GmbH;2019-12-11
wheelE GmbH;2019-12-11
ACQUIFER Imaging GmbH;2019-12-10
Anon User UG (haftungsbeschränkt);2019-12-10
Augmania GmbH;2019-12-10
Better Basics Laborbedarf GmbH;2019-12-10
Black Punk Verwaltungs GmbH;2019-12-10
Coelly GmbH;2019-12-10
deepmood GmbH;2019-12-10
Deflect GmbH;2019-12-10
e4move GmbH;2019-12-10
fatchd GmbH;2019-12-10
Fractallco UG (haftungsbeschränkt);2019-12-10
Get Together Software UG (haftungsbeschränkt);2019-12-10
Immersivecast GmbH;2019-12-10
Intiveralis GmbH;2019-12-10
Neuron-D GmbH;2019-12-10
Rocketsmarketer GmbH;2019-12-10
Airovate Technologies UG (haftungsbeschränkt);2019-12-09
Direct-Smarter Technology GmbH;2019-12-09
IO-Dynamics GmbH;2019-12-09
Lagom.Energy GmbH;2019-12-09
TamedAI GmbH;2019-12-09
TRIEBWERK AUTOMOTIVE GmbH;2019-12-09
Trisor GmbH;2019-12-09
TVISTTER UG (haftungsbeschränkt);2019-12-09
Ably Medical GmbH;2019-12-06
Dyos Technology GmbH;2019-12-06
Early Metrics GmbH;2019-12-06
everdrop GmbH;2019-12-06
OMY! SportTech UG (haftungsbeschränkt);2019-12-06
PlanetarX Technologies UG (haftungsbeschränkt);2019-12-06
PracmaTax GmbH;2019-12-06
Risklio GmbH;2019-12-06
RM remember.me AG;2019-12-06
Unchained Robotics GmbH;2019-12-06
volytica diagnostics GmbH;2019-12-06
Al Bots as a Service UG (haftungsbeschränkt);2019-12-05
battyRabbit UG (haftungsbeschränkt);2019-12-05
Emerging Insights GmbH;2019-12-05
flowciety GmbH;2019-12-05
Gymtelligence GmbH;2019-12-05
Hyperlium UG (haftungsbeschränkt);2019-12-05
latAI GmbH;2019-12-05
Medical Experts Kern GmbH;2019-12-05
mediproCan Pharma GmbH;2019-12-05
monmedi GmbH;2019-12-05
Raw Canvas Distillers GmbH;2019-12-05
RiGO Drinks GmbH;2019-12-05
SlideVision GmbH;2019-12-05
Spark Robotics UG (haftungsbeschränkt);2019-12-05
LimoFahr UG (haftungsbeschränkt);2019-12-04
RAMROD XR UG (haftungsbeschränkt);2019-12-04
truckoo GmbH;2019-12-04
Comercus GmbH;2019-12-03
DW Consulting & Fashion GmbH;2019-12-03
Flinkit GmbH;2019-12-03
HR Genius GmbH;2019-12-03
Kitalino GmbH;2019-12-03
MATRIX Module GmbH;2019-12-03
MyCollective GmbH;2019-12-03
MySurgery24 Patientengewinnung UG (haftungsbeschränkt);2019-12-03
Nebula Biocides GmbH;2019-12-03
Patzo GmbH;2019-12-03
Quinta Digital GmbH;2019-12-03
Teston Germany GmbH;2019-12-03
VerSolutions GmbH;2019-12-03
AdPhi UG (haftungsbeschränkt);2019-12-02
clabremo GmbH;2019-12-02
Digital Rocks GmbH;2019-12-02
ditCraft UG (haftungsbeschränkt);2019-12-02
FRENVI UG (haftungsbeschränkt);2019-12-02
Locoia GmbH;2019-12-02
MyBodyPass GmbH;2019-12-02
Next.e.GO Mobile SE;2019-12-02
ODIN 4.0 GmbH;2019-12-02
Olivos GmbH;2019-12-02
On Charge GmbH;2019-12-02
perXoom GmbH;2019-12-02
ZI Solutions GmbH;2019-12-02
ParaBox GmbH;2019-11-30
Cooler Future 1.5 GmbH;2019-11-29
eco.income engineering GmbH;2019-11-29
exaas GmbH;2019-11-29
Planetly GmbH;2019-11-29
Tesi Games UG (haftungsbeschränkt);2019-11-29
YUVAL UG (haftungsbeschränkt);2019-11-29
fairsend GmbH;2019-11-28
Fintech Datenbank GmbH;2019-11-28
Future4Retail GmbH;2019-11-28
Gudemo GmbH;2019-11-28
Iceberg GmbH;2019-11-28
Impact Trainer UG (haftungsbeschränkt);2019-11-28
InnerMe GmbH;2019-11-28
LENZBOX GmbH;2019-11-28
mitavine GmbH;2019-11-28
Pendect GmbH;2019-11-28
PEP Balance GmbH;2019-11-28
prioview UG (haftungsbeschränkt);2019-11-28
ScoopScoop GmbH;2019-11-28
Seashell GmbH;2019-11-28
Sensific GmbH;2019-11-28
two-oh47 GmbH;2019-11-28
Votesquare UG (haftungsbeschränkt);2019-11-28
xCave Technology GmbH;2019-11-28
CO / RE Coinnovation & Recreation GmbH;2019-11-27
Datos-Intelligence GmbH;2019-11-27
epekworks GmbH;2019-11-27
Forest Garden Labs GmbH;2019-11-27
FWC - FreewayCamper GmbH;2019-11-27
GMG Gesellschaft für medizinische Gutachten UG (haftungsbeschränkt);2019-11-27
n8n GmbH;2019-11-27
PartiQla GmbH;2019-11-27
PND Performance UG (haftungsbeschränkt);2019-11-27
ReZen GmbH;2019-11-27
SEDIDOC GmbH;2019-11-27
Skyland Wealth GmbH;2019-11-27
Smart Soil Technologies GmbH;2019-11-27
Vritzvanfix GmbH;2019-11-27
BTA GmbH;2019-11-26
Emergence Therapeutics AG;2019-11-26
ETX Abwicklungsgesellschaft mbH;2019-11-26
Healthcare Intelligence UG (haftungsbeschränkt);2019-11-26
Plutoneo Technology GmbH;2019-11-26
slon GmbH;2019-11-26
Spirulicious UG (haftungsbeschränkt);2019-11-26
Urbify Technologies GmbH;2019-11-26
CheckmyNext GmbH;2019-11-25
frinks GmbH;2019-11-25
meisight GmbH & Co. KG;2019-11-25
raumvonwert GmbH;2019-11-25
Smart Meals GmbH;2019-11-25
TRILITEC GmbH;2019-11-25
True Node GmbH;2019-11-25
TrueSkin GmbH;2019-11-25
inner.i Virtual Awareness GmbH;2019-11-23
Rabbithill Games UG (haftungsbeschränkt);2019-11-23
Sensorless Motor Control Technologies GmbH;2019-11-23
TUMint.Energy Research GmbH;2019-11-23
BAGGISTICS Hospitality & Transportation GmbH;2019-11-22
Carma Insights GmbH;2019-11-22
CleverContract UG (haftungsbeschränkt);2019-11-22
ELMAD UG (haftungsbeschränkt);2019-11-22
Mulytic Labs GmbH;2019-11-22
NXTLVL UG (haftungsbeschränkt);2019-11-22
Orubase GmbH;2019-11-22
osir.io UG (haftungsbeschränkt);2019-11-22
Pantaware GmbH;2019-11-22
rubarb GmbH;2019-11-22
S.A. Smoothly Awake UG (haftungsbeschränkt);2019-11-22
TAKT.ing GmbH;2019-11-22
Cloud Creators GmbH;2019-11-21
DropFriends GmbH;2019-11-21
Fairdrive Solutions GmbH;2019-11-21
Glenoire Naturkosmetik GmbH;2019-11-21
Kaloa Games UG (haftungsbeschränkt);2019-11-21
LineLog UG (haftungsbeschränkt);2019-11-21
mybilio GmbH;2019-11-21
openmjnd GmbH;2019-11-21
readable.ai GmbH;2019-11-21
safe - B AG;2019-11-21
STAXX: ZONE UG (haftungsbeschränkt);2019-11-21
tensorDynamic GmbH;2019-11-21
Evernest GmbH;2019-11-20
LocatYa GmbH;2019-11-20
Quantistry GmbH;2019-11-20
SportsZone GmbH;2019-11-20
UVENTIONS GmbH;2019-11-20
vfux GmbH;2019-11-20
Crazy Koalas GmbH;2019-11-19
hapPEA hipPEA UG (haftungsbeschränkt);2019-11-19
Haury Solutions GmbH;2019-11-19
MGateway UG (haftungsbeschränkt);2019-11-19
OmniX Digital UG (haftungsbeschränkt);2019-11-19
Robo.Fish UG (haftungsbeschränkt);2019-11-19
Toss-Less GmbH;2019-11-19
TRIP PERFECT GmbH;2019-11-19
Worklife UG (haftungsbeschränkt);2019-11-19
Zahnkonform GmbH;2019-11-19
APPSOLUTE24 UG (haftungsbeschränkt);2019-11-18
BiaTex GmbH;2019-11-18
Byght GmbH;2019-11-18
Die.Kim GmbH;2019-11-18
INNOLIBRO GmbH;2019-11-18
innus GmbH;2019-11-18
Mainstage Incubator UG (haftungsbeschränkt);2019-11-18
MENSTRULUTION UG (haftungsbeschränkt);2019-11-18
Moina GmbH;2019-11-18
obsurver UG (haftungsbeschränkt);2019-11-18
Statyva GmbH;2019-11-18
The Green Hunters AC UG (haftungsbeschränkt);2019-11-18
truffle.one GmbH;2019-11-18
VitalForAll GmbH;2019-11-18
Zaluto Guide GmbH;2019-11-18
iustex UG (haftungsbeschränkt);2019-11-16
valunoo GmbH;2019-11-16
Eliah Semiotics UG (haftungsbeschränkt);2019-11-15
Home Furniture Group GmbH;2019-11-15
Innopard GmbH;2019-11-15
SIMPI GmbH;2019-11-15
XT Xia Tea GmbH;2019-11-15
AI Superior GmbH;2019-11-14
AI ZWEI GmbH;2019-11-14
Arioso Systems GmbH;2019-11-14
FOMO UNAGI UG (haftungsbeschränkt);2019-11-14
GTC Energy Solutions GmbH;2019-11-14
m3d products UG (haftungsbeschränkt);2019-11-14
nexsana GmbH;2019-11-14
OmicEra Diagnostics GmbH;2019-11-14
Shape-Shift GmbH;2019-11-14
Shopfloor.eXpress GmbH;2019-11-14
tenac.io GmbH;2019-11-14
UNA ORGANIC GmbH;2019-11-14
Uplift1 GmbH;2019-11-14
Urban Guru GmbH;2019-11-14
YOMOLOPO UG (haftungsbeschränkt);2019-11-14
DRUM Engineering GmbH;2019-11-13
eat app live UG (haftungsbeschränkt);2019-11-13
FindEm GmbH;2019-11-13
Goggo Network GmbH;2019-11-13
HyperSpin Scientific UG (haftungsbeschränkt);2019-11-13
Jump Therapeutics GmbH;2019-11-13
LGC Legal Grey Capital GmbH;2019-11-13
NIPOKA GmbH;2019-11-13
Orbem GmbH;2019-11-13
Salufast GmbH;2019-11-13
SmokeStab GmbH;2019-11-13
Aivar Technologies GmbH;2019-11-12
AiZUBI UG (haftungsbeschränkt);2019-11-12
Boobranda UG (haftungsbeschränkt);2019-11-12
Buses4Future GmbH;2019-11-12
Detherma GmbH;2019-11-12
kickbuzz GmbH;2019-11-12
Klavant GmbH;2019-11-12
Level3 GmbH;2019-11-12
maqum GmbH;2019-11-12
Oat Concept UG (haftungsbeschränkt);2019-11-12
oroom UG (haftungsbeschränkt);2019-11-12
OWN Capital GmbH;2019-11-12
r3volution d AG;2019-11-12
Termz Legal Tech GmbH;2019-11-12
Voxalyze GmbH;2019-11-12
ADVNZ Technologies GmbH;2019-11-11
chemiekontor.de GmbH;2019-11-11
Eventmadeeasy GmbH;2019-11-11
MAREM RESEARCH UG (haftungsbeschränkt);2019-11-11
Nimo GmbH;2019-11-11
WePlace UG (haftungsbeschränkt);2019-11-11
Grillgusto GmbH;2019-11-09
ChainTrust GmbH;2019-11-08
Clouz GmbH;2019-11-08
evercann Animal Care GmbH;2019-11-08
HAIP Solutions GmbH;2019-11-08
Homento Technologies GmbH;2019-11-08
memopay UG (haftungsbeschränkt);2019-11-08
StromerX GmbH;2019-11-08
Studio Analytics JNS UG (haftungsbeschränkt);2019-11-08
SurgiData UG (haftungsbeschränkt);2019-11-08
Varini Electric Skateboards UG (haftungsbeschränkt);2019-11-08
XaaSfarm GmbH;2019-11-08
ConsciousGrowth GmbH;2019-11-07
evercann Consumer Products GmbH;2019-11-07
Scira AG;2019-11-07
Sporthead UG (haftungsbeschränkt);2019-11-07
Switcheroo IT GmbH;2019-11-07
thingx.digital UG (haftungsbeschränkt);2019-11-07
Desaar GmbH;2019-11-06
dhc-digital GmbH;2019-11-06
Kid-Coins GmbH;2019-11-06
LeafyFarm UG (haftungsbeschränkt);2019-11-06
Mitarbeitsapp GmbH;2019-11-06
ONEZERO X GmbH;2019-11-06
paiqo GmbH;2019-11-06
PharoPro GmbH;2019-11-06
RHO KOMBUCHA GmbH;2019-11-06
Senodis Technologies GmbH;2019-11-06
Steinova GmbH;2019-11-06
straiqr.ai GmbH;2019-11-06
Venice Body UG (haftungsbeschränkt);2019-11-06
VIVE - MedTech GmbH;2019-11-06
AfroAI UG (haftungsbeschränkt);2019-11-05
Awenja GmbH;2019-11-05
Bioseet GmbH;2019-11-05
edelsprint UG (haftungsbeschränkt);2019-11-05
FERNRIDE GmbH;2019-11-05
I do GmbH;2019-11-05
Joinative GmbH;2019-11-05
Number3 GmbH;2019-11-05
Prime Vector Technologies GmbH;2019-11-05
Project Gnosis GmbH;2019-11-05
revenue cloud solutions GmbH;2019-11-05
SiSlify GmbH;2019-11-05
Vita Date UG (haftungsbeschränkt);2019-11-05
42 Ads GmbH;2019-11-04
AMFOX UG (haftungsbeschränkt);2019-11-04
Bontravo GmbH;2019-11-04
Disprotec GmbH;2019-11-04
EC3L GmbH;2019-11-04
Maniko Nails GmbH;2019-11-04
PickAnAnt UG (haftungsbeschränkt);2019-11-04
Pro Booking Betriebs UG (haftungsbeschränkt);2019-11-04
PROVIREX Genome Editing Therapies GmbH;2019-11-04
Roadz GmbH;2019-11-04
WILHELM GmbH;2019-11-04
ymetrics UG (haftungsbeschränkt);2019-11-04
ACARYON GmbH;2019-11-01
Antonia Amalfi GmbH;2019-11-01
IAMSTRONGER GmbH;2019-11-01
MYHIBER UG (haftungsbeschränkt);2019-11-01
MySoul UG (haftungsbeschränkt);2019-11-01
Optiba GmbH;2019-11-01
WANARA GmbH;2019-11-01
Wevacious UG (haftungsbeschränkt);2019-11-01
CreaCheck GmbH;2019-10-31
PWP Leeway UG (haftungsbeschränkt);2019-10-31
ShopDoc Deals UG (haftungsbeschränkt);2019-10-31
AIME GmbH;2019-10-30
amazher UG (haftungsbeschränkt);2019-10-30
Andvaranaut.net UG (haftungsbeschränkt);2019-10-30
axytos GmbH;2019-10-30
CarboCalyx GmbH;2019-10-30
Cognilize GmbH;2019-10-30
edon - electronic donations UG (haftungsbeschränkt);2019-10-30
EveryGym UG (haftungsbeschränkt);2019-10-30
fireXale UG (haftungsbeschränkt);2019-10-30
FlexHero GmbH;2019-10-30
JobAI UG (haftungsbeschränkt);2019-10-30
Kaonics GmbH;2019-10-30
Riot Gin UG (haftungsbeschränkt);2019-10-30
SEA ME GmbH;2019-10-30
10 Downing Data GmbH;2019-10-29
Arbeit sucht Dich GmbH;2019-10-29
Bitfury Surround GmbH;2019-10-29
BUDDY Activities UG (haftungsbeschränkt);2019-10-29
DITS Portale UG (haftungsbeschränkt);2019-10-29
Future Talents GmbH;2019-10-29
Health Solutions UG (haftungsbeschränkt);2019-10-29
OmniSavy UG (haftungsbeschränkt);2019-10-29
OWOL UG (haftungsbeschränkt);2019-10-29
PerAGraft GmbH;2019-10-29
Real Human Games GmbH;2019-10-29
ReUse and Trade GmbH;2019-10-29
Take Eat Easy GmbH;2019-10-29
BUILD.ONE GmbH;2019-10-28
digitell.me GmbH;2019-10-28
HoGroTec GmbH;2019-10-28
Jymmin GmbH;2019-10-28
Paper Tech Germany GmbH;2019-10-28
Soccer Performance Products UG (haftungsbeschränkt);2019-10-28
tinqplus GmbH;2019-10-28
WARGdrones GmbH;2019-10-28
WeQ Studios GmbH;2019-10-28
Wranglab GmbH;2019-10-28
bachmaier GmbH;2019-10-26
Acheta Innovation UG (haftungsbeschränkt);2019-10-25
Fusionbase GmbH;2019-10-25
GOT BAG GmbH;2019-10-25
HiPeople GmbH;2019-10-25
intyme GmbH;2019-10-25
Kiddig UG (haftungsbeschränkt);2019-10-25
Parkamo GmbH;2019-10-25
RoboSheep Technology GmbH;2019-10-25
SonoDent GmbH;2019-10-25
Syscribe GmbH;2019-10-25
HB Venture O GmbH;2019-10-24
Liberate Science GmbH;2019-10-24
RepairFix GmbH;2019-10-24
Shary.One GmbH;2019-10-24
The Drone Manufactory GmbH;2019-10-24
Thullias UG (haftungsbeschränkt);2019-10-24
amperio GmbH;2019-10-23
ANNEA.ai GmbH;2019-10-23
buddy GmbH;2019-10-23
Convention App GmbH;2019-10-23
Couchtasting UG (haftungsbeschränkt);2019-10-23
dokeshi GmbH;2019-10-23
EyeLogic GmbH;2019-10-23
Filancore GmbH;2019-10-23
HB Venture N GmbH;2019-10-23
HomeFeelio GmbH;2019-10-23
ImmoPresenter 3D GmbH;2019-10-23
LegalTegrity GmbH;2019-10-23
RMB Networking UG (haftungsbeschränkt);2019-10-23
Scantinel Photonics GmbH;2019-10-23
Solomia Solutions GmbH;2019-10-23
studitest UG (haftungsbeschränkt);2019-10-23
AVERY Fertility GmbH;2019-10-22
BANLabs GmbH;2019-10-22
Beyond Drinks GmbH;2019-10-22
c20y GmbH;2019-10-22
C3AI GmbH;2019-10-22
Declareme GmbH;2019-10-22
DECORAMI GmbH;2019-10-22
greenventory GmbH;2019-10-22
HB Venture M GmbH;2019-10-22
HB Venture P GmbH;2019-10-22
Ixtenda GmbH;2019-10-22
Quantune Technologies GmbH;2019-10-22
REVOMATTER GmbH;2019-10-22
startupdetector UG (haftungsbeschränkt);2019-10-22
SUPEDIO GmbH;2019-10-22
Tau ACT GmbH;2019-10-22
Thericon GmbH;2019-10-22
Tonkotsu Games UG (haftungsbeschränkt);2019-10-22
Ultimate.ai GmbH;2019-10-22
Websitepiloten UG (haftungsbeschränkt);2019-10-22
Weissenberg Digital Lab GmbH;2019-10-22
Workist GmbH;2019-10-22
Avomind GmbH;2019-10-21
cyclus.digital GmbH;2019-10-21
LaBaria GmbH;2019-10-21
Lichtenberger Performance GmbH;2019-10-21
loyoloo UG (haftungsbeschränkt);2019-10-21
MedPlan Solutions UG (haftungsbeschränkt);2019-10-21
neoalto GmbH;2019-10-21
NXT Pharma GmbH;2019-10-21
Pharma VC GmbH;2019-10-21
Yepoda GmbH;2019-10-21
Electrofruit UG (haftungsbeschränkt);2019-10-19
M-innovative GmbH;2019-10-19
Privabo GmbH & Co. KG;2019-10-19
Adresswerkstatt Al GmbH;2019-10-18
APC Labs GmbH;2019-10-18
Cellseeker GmbH;2019-10-18
Food Kompanions GmbH;2019-10-18
GetMomo Financial GmbH;2019-10-18
Lazy Koala Games GmbH;2019-10-18
nooa GmbH;2019-10-18
PRLS GmbH;2019-10-18
rethink now GmbH;2019-10-18
solarnative GmbH;2019-10-18
CapTec Analytics GmbH;2019-10-17
easyFOREST GmbH;2019-10-17
EMS Blockchain Technology UG (haftungsbeschränkt);2019-10-17
Melthy GmbH;2019-10-17
resurance GmbH;2019-10-17
SHS-MED GmbH;2019-10-17
Vality GmbH;2019-10-17
WAKU Robotics GmbH;2019-10-17
Bike-Evolution GmbH;2019-10-16
FILICS GmbH;2019-10-16
First Digit UG (haftungsbeschränkt);2019-10-16
JobID GmbH;2019-10-16
LignoPure GmbH;2019-10-16
Lumosens UG (haftungsbeschränkt);2019-10-16
playd GmbH;2019-10-16
REALESTIMATE UG (haftungsbeschränkt);2019-10-16
Redimax Ventures GmbH;2019-10-16
TrackSecure GmbH;2019-10-16
viab.ly GmbH;2019-10-16
wildplastic GmbH;2019-10-16
ZestUp Beverages UG (haftungsbeschränkt);2019-10-16
1st Baby GmbH;2019-10-15
3a-diagnostics GmbH;2019-10-15
Canntastyc GmbH;2019-10-15
DeepAtom GmbH;2019-10-15
ecosistant GmbH;2019-10-15
eSports Media GmbH;2019-10-15
JAMMY LIFE GmbH;2019-10-15
JJLab UG (haftungsbeschränkt);2019-10-15
Julep Media GmbH;2019-10-15
MedTechMarket UG (haftungsbeschränkt);2019-10-15
Midesk UG (haftungsbeschränkt);2019-10-15
Pixaera GmbH;2019-10-15
UMASAN 4.0 GmbH;2019-10-15
Vehicle-Trade GmbH;2019-10-15
WEtell GmbH;2019-10-15
charify.me GmbH;2019-10-14
Condo Technologies GmbH;2019-10-14
Co-Tasker GmbH;2019-10-14
God Given Design Studio GmbH;2019-10-14
Insurfox GmbH;2019-10-14
memoresa GmbH;2019-10-14
MemoZing Verwaltungs GmbH;2019-10-14
PflegePanther GmbH;2019-10-14
Predimo GmbH;2019-10-14
ReviewMax GmbH;2019-10-14
Whyzzer UG (haftungsbeschränkt);2019-10-14
Wildmund Ventures GmbH;2019-10-14
House of Terps GmbH;2019-10-12
Lulalearn GmbH;2019-10-12
Ambiqum GmbH;2019-10-11
GEOXIP AG;2019-10-11
Jumping Bird GmbH;2019-10-11
RoomPriceGenie GmbH;2019-10-11
UPPER Technologies GmbH;2019-10-11
Wooltasia GmbH;2019-10-11
Zier Mobility Solutions UG (haftungsbeschränkt);2019-10-11
3D FoxLab UG (haftungsbeschränkt);2019-10-10
AeroDCS GmbH;2019-10-10
Creative Hands UG (haftungsbeschränkt);2019-10-10
Deutschdata Karamat und Ziesche GmbH;2019-10-10
Djam Ventures GmbH;2019-10-10
Dream Dates UG (haftungsbeschränkt);2019-10-10
Electronovum Group GmbH;2019-10-10
hutch&putch GmbH;2019-10-10
Maon GmbH;2019-10-10
Maru Commerce Services UG (haftungsbeschränkt);2019-10-10
noventive Managementgesellschaft mbH;2019-10-10
RapDocu UG (haftungsbeschränkt);2019-10-10
Ventecon Technologies GmbH;2019-10-10
Wondermore Games Studio UG (haftungsbeschränkt);2019-10-10
1less GmbH;2019-10-09
Bold & Ambitious Beauty GmbH;2019-10-09
Crowdis GmbH;2019-10-09
DigitalHealth Technology GmbH;2019-10-09
Furiu GmbH;2019-10-09
Omokeya GmbH;2019-10-09
Posterfy UG (haftungsbeschränkt);2019-10-09
SimpleVR GmbH;2019-10-09
spoter.ME UG (haftungsbeschränkt);2019-10-09
Steuerdoktor UG (haftungsbeschränkt);2019-10-09
Turing positive GmbH;2019-10-09
BeeSonix UG (haftungsbeschränkt);2019-10-08
BotTalk UG (haftungsbeschränkt);2019-10-08
dealQ GmbH;2019-10-08
FINVIA Holding GmbH;2019-10-08
Frequenz Energy-as-a-Service GmbH;2019-10-08
Jellyway GmbH;2019-10-08
OLDKID STUDIOS UG (haftungsbeschränkt);2019-10-08
Syncronice UG (haftungsbeschränkt);2019-10-08
Viibes UG (haftungsbeschränkt);2019-10-08
